index,x,y,z,s,tx,ty,tz,yaw
0,-12.725662942,-4.363108956,0.789346,0,-0.998801664,-0.048941154,0,-3.092631941
1,-12.746740252,-4.364141741,0.789346,0.021102598,-0.999938516,-0.01108896,0,-3.130503466
2,-12.818793583,-4.364141741,0.789346,0.093155929,-1,0,0,3.141592654
3,-12.883155829,-4.364141741,0.789346,0.157518175,-1,0,0,3.141592654
4,-12.969781745,-4.364141741,0.789346,0.24414409,-1,0,0,3.141592654
5,-13.085552828,-4.364141741,0.789346,0.359915174,-1,0,0,3.141592654
6,-13.166106834,-4.364141741,0.789346,0.440469179,-1,0,0,3.141592654
7,-13.257458451,-4.364141741,0.789346,0.531820796,-1,0,0,3.141592654
8,-13.337637565,-4.364141741,0.789346,0.61199991,-1,0,0,3.141592654
9,-13.410634049,-4.364141741,0.789346,0.684996395,-1,0,0,3.141592654
10,-13.489353024,-4.364141741,0.789346,0.763715369,-1,0,0,3.141592654
11,-13.602019556,-4.364141741,0.789346,0.876381902,-1,0,0,3.141592654
12,-13.689594416,-4.364141741,0.789346,0.963956761,-1,0,0,3.141592654
13,-13.734365833,-4.364141741,0.789346,1.008728178,-0.999903218,0.013912364,0,3.127679841
14,-13.763822313,-4.363108956,0.789346,1.038202759,-0.999895581,0.014450869,0,3.127141282
15,-13.805827116,-4.363108956,0.789346,1.080207562,-1,0,0,3.141592654
16,-13.846019993,-4.363108956,0.789346,1.120400438,-0.997785882,-0.066508147,0,-3.075035377
17,-13.889159368,-4.368663528,0.789346,1.163895944,-0.978497467,-0.206258835,0,-2.933842622
18,-13.930546891,-4.380926498,0.789346,1.207061989,-0.929185682,-0.369613269,0,-2.762999872
19,-13.954982799,-4.394846899,0.789346,1.235184776,-0.86890064,-0.494986542,0,-2.62377331
