index,x,y,z,s,tx,ty,tz,yaw
0,-12.537466567,-3.913101672,0.789346,0,0.441042578,-0.897486181,0,-1.11403632
1,-12.524901085,-3.938671417,0.789346,0.028490405,0.344292216,-0.93886254,0,-1.21931152
2,-12.512896977,-3.980101352,0.789346,0.071624361,0.199155815,-0.979967837,0,-1.370299923
3,-12.507788845,-4.022874055,0.789346,0.114701004,0.041093777,-0.999155294,0,-1.529690976
4,-12.507788845,-4.104300609,0.789346,0.196127558,0,-1,0,-1.570796327
5,-12.507788845,-4.14295446,0.789346,0.234781408,-0.000124405,-0.999999992,0,-1.570920732
6,-12.507794291,-4.148075879,0.789346,0.239902831,-0.054027045,-0.998539473,0,-1.624849689
7,-12.510085965,-4.185410329,0.789346,0.277307548,-0.184266232,-0.982876369,0,-1.756121585
8,-12.522693702,-4.227549363,0.789346,0.321292241,-0.352838287,-0.935684318,0,-1.931399083
9,-12.535653748,-4.253212985,0.789346,0.35004262,-0.450778247,-0.892635968,0,-2.038433327
