index,x,y,z,s,tx,ty,tz,yaw
0,-14.063233008,-3.582796723,0.789346,0,-0.008129813,0.999966953,0,1.578926229
1,-14.063560657,-3.542495929,0.789346,0.040302126,-0.009081255,0.999958765,0,1.579877707
2,-14.063816574,-3.518538964,0.789346,0.064260458,-0.003415014,0.999994169,0,1.574211348
3,-14.063696615,-3.502684296,0.789346,0.080115579,0.022462762,0.99974768,0,1.548331675
4,-14.062809461,-3.473715492,0.789346,0.109097964,0.036208126,0.999344271,0,1.534580285
5,-14.062246721,-3.462667226,0.789346,0.120160552,0.070287582,0.99752677,0,1.500450742
6,-14.060223048,-3.437008931,0.789346,0.145898528,0.10021241,0.994966066,0,1.470415424
7,-14.058187019,-3.422360177,0.789346,0.160688098,0.180063396,0.983655007,0,1.389745427
8,-14.05405472,-3.403312424,0.789346,0.180178937,0.267643864,0.96351791,0,1.299849476
9,-14.046587868,-3.380603235,0.789346,0.204084191,0.359123437,0.933290071,0,1.203467821
10,-14.038357366,-3.362518138,0.789346,0.223954065,0.465476207,0.885060394,0,1.086623741
11,-14.025999375,-3.341456101,0.789346,0.24837392,0.547036365,0.837108843,0,0.991976523
12,-14.013106158,-3.323877179,0.789346,0.270174231,0.635876952,0.771790452,0,0.881652082
13,-13.998258567,-3.307785921,0.789346,0.292068969,0.722965722,0.690883901,0,0.762710944
14,-13.981123535,-3.293313795,0.789346,0.314497784,0.787055915,0.616881663,0,0.664774495
15,-13.965419373,-3.282047094,0.789346,0.333825465,0.834914851,0.550379135,0,0.58281827
16,-13.939534163,-3.265897918,0.789346,0.364335135,0.863528237,0.50430049,0,0.528571713
17,-13.928438299,-3.260450146,0.789346,0.37669622,0.922247042,0.386601079,0,0.396943255
18,-13.911723929,-3.254240015,0.789346,0.394526977,0.959472274,0.281803045,0,0.285672797
19,-13.88613195,-3.248024506,0.789346,0.420862921,0.986667938,0.162746364,0,0.163473492
20,-13.845535094,-3.24332247,0.789346,0.461731171,0.993626448,0.11272303,0,0.112963124
