index,x,y,z,s,tx,ty,tz,yaw
0,-14.173498387,-3.773045486,0.789346,0,0.88277972,0.46978715,0,0.48904965
1,-14.156245176,-3.763863879,0.789346,0.019544185,0.901947844,0.43184498,0,0.446537328
2,-14.139036891,-3.756545614,0.789346,0.038243973,0.948640432,0.316356336,0,0.321886082
3,-14.105145819,-3.746823064,0.789346,0.073502061,0.97735915,0.21158708,0,0.213198521
4,-14.076306844,-3.742965276,0.789346,0.10259792,0.997152935,0.075405728,0,0.075477371
5,-14.051020504,-3.742730052,0.789346,0.127885354,0.997180782,-0.075036578,0,-0.075107172
6,-14.014250196,-3.747634959,0.789346,0.16498136,0.979900943,-0.199484692,0,-0.200832015
7,-13.985467876,-3.75607502,0.789346,0.194975636,0.945776955,-0.324816796,0,-0.330818015
8,-13.966996058,-3.763863879,0.789346,0.21502244,0.90659439,-0.422003095,0,-0.435653659
9,-13.952718811,-3.77131911,0.789346,0.231128969,0.886426099,-0.462870144,0,-0.481230355
