index,x,y,z,s,tx,ty,tz,yaw
0,-12.53937406,-3.690222583,0.789346,0,-0.497019853,-0.867739169,0,-2.09095733
1,-12.543466535,-3.69736757,0.789346,0.008234027,-0.412437273,-0.910986002,0,-1.995924197
2,-12.55107151,-3.716059757,0.789346,0.028414054,-0.355148046,-0.934810069,0,-1.93386876
3,-12.556953952,-3.732868748,0.789346,0.046222627,-0.305232162,-0.952277967,0,-1.880978543
4,-12.561614779,-3.748953152,0.789346,0.062968712,-0.263218269,-0.964736308,0,-1.837152924
5,-12.56363424,-3.757353054,0.789346,0.071607959,-0.174067548,-0.984733715,0,-1.745755108
6,-12.568061409,-3.785422982,0.789346,0.100024867,-0.098915952,-0.995095792,0,-1.669874298
7,-12.568672499,-3.808038005,0.789346,0.122648145,0.058895128,-0.998264175,0,-1.511867098
8,-12.564947891,-3.838196667,0.789346,0.153035932,0.179343733,-0.983786474,0,-1.390476999
9,-12.558982164,-3.861194146,0.789346,0.176794592,0.263845006,-0.96456509,0,-1.303790025
10,-12.556953943,-3.867420956,0.789346,0.183343397,0.356558719,-0.934272915,0,-1.206214413
11,-12.546037328,-3.895112851,0.789346,0.213109376,0.392386518,-0.919800424,0,-1.167571562
12,-12.537466567,-3.913101672,0.789346,0.233035631,0.430124015,-0.902769811,0,-1.126166183
